artist_id,artist_name,artist_popularity,artist_genres,artist_followers
3Yhv9MAKkZA0k3PLTZXlZQ,Marcus Yates,19,[],1209
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,72,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",1942436
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,74,"['contemporary country', 'country', 'country road']",3742493
4vg4AC4wgDKwGNV1xemLr1,DSCOSTU,39,[],377
4mPrHfhtQUBoHgTxkBieLY,VickeeLo,39,['bounce'],21446
2mJLFoa2cRqCZHL6MZNaak,Germán Montero,52,"['banda', 'musica mexicana', 'norteno']",976022
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,80,"['brooklyn drill', 'melodic rap', 'nyc rap']",6550392
4e5oZygHeeRoTXc00gYWiu,Danny Towers,61,[],33399
3GLqH1P5kbxsIWqCwOwaB8,cloudcity,53,[],251
5IbEL2xjRtKsunfmsahLuO,$NOT,71,"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']",1342003
5V8q61RswIFvxhIfzYVew9,Reese Witherspoon,55,['hollywood'],9324
3L2SIGZah4QZSvN4wC8rHl,City Spud,59,[],1474
3tqosLbNFNekyZyO2KJ6qd,Mike Sherm,65,['cali rap'],404417
0FPWyyf6MD4QZTj3aypD3O,We Are KING,45,['neo r&b'],32529
0C86lmpnwiyLDUiyo4d0P1,BRELAND,61,['black americana'],82433
11662aaOqDYv2EBHSxJPJV,Drivotra,52,['rain'],273
6jJ0s89eD6GaHleKKya26X,Katy Perry,84,['pop'],26925177
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,77,"['melodic rap', 'pluggnb', 'rap']",5958370
2hejA1Dkf8v8R0koF44FvW,Gera MX,76,"['mexican hip hop', 'rap conciencia']",4177788
7fzgNgRW6BU64sSRRNNkN5,Boona,13,[],124
1Iww3Y4gDbNvjkqnjUzIZu,Relaxcation,50,['rain'],178
2y246nnP9pQT0E6v3ZMMOO,Night Lovell,69,"['aesthetic rap', 'canadian hip hop', 'canadian trap', 'cloud rap', 'dark trap', 'ottawa rap']",1258276
329e4yvIujISKGKz1BZZbO,Farruko,84,"['reggaeton', 'trap latino', 'urbano latino']",15078616
5IYRfypwG9BDDh5ZRPI80z,Totoy El Frio,61,"['reggaeton colombiano', 'urbano latino']",23505
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,88,"['dance pop', 'pop']",48161750
5LHRHt1k9lMyONurDHEdrp,Tyga,81,"['hip hop', 'pop rap', 'rap', 'trap']",6813817
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,83,['pop'],25222001
78YqeIji3mgAS2K1Maca6x,Dylan Scott,65,"['contemporary country', 'country', 'country road', 'modern country rock']",1399377
35WVTyRnKAoaGExqgktVyb,Hotel Ugly,75,[],288862
5xkFVS6IwwgHEAaRzXc9U3,Tay Keith,58,['memphis hip hop'],38689
502gYHkFCtLzBIcU4ctPLd,Zeph,63,['gen z singer-songwriter'],97356
5zixe6AbgXPqt4c1uSl94L,Connor Price,74,[],718857
7ciBW1p3KBsYIkFk4UmwS8,The Rudeboyz,56,['trap brasileiro'],16978
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,84,"['canadian pop', 'pop', 'viral pop']",41529896
4qDQBPUMcJUH7BQ9dfJnfI,Grupo Ensamble,54,['cumbia sonidera'],69868
21QEpK62qn34QVshh4qpTK,Sam Carter,39,[],179
6U3ybJ9UHNKEdsH7ktGBZ7,JID,77,"['hip hop', 'rap', 'underground hip hop']",1217426
3pc0bOVB5whxmD50W79wwO,keshi,79,['chill r&b'],2583342
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,84,"['pluggnb', 'rage rap']",2413922
2EnD37GNRe2REqHBKqMnZQ,Bslime,44,['atl trap'],8560
6gj3sMEZYP6IESIptoXnrP,Ambré,54,['alternative r&b'],79760
371jpyGdoChzUASOIG2ECV,Ashley McBryde,59,"['arkansas country', 'contemporary country', 'country', 'country road']",212724
66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,67,"['alt z', 'canadian contemporary r&b']",429289
1r4hJ1h58CWwUQe3MxPuau,Maluma,84,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",33817987
1Lskvp8v0SE5vR9KR8Ymcb,Golde London,24,[],1249
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,84,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",8357546
3rWZHrfrsPBxVy692yAIxF,WILLOW,73,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",2303195
