track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,200548
0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,143901
2pUhY7tWx8egpw2qn84iSi,0.161,1.0,-17.037,0.0419,0.914,0.881,0.943,1e-05,81.756,146000
0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,-5.254,0.0248,0.723,0.0,0.101,0.367,88.003,190680
6YvqWjhGD8mB5QXcbcUKtx,0.627,0.792,-4.311,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767
2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,-7.012,0.326,0.758,0.0,0.246,0.496,86.743,336511
1hHnCReCPe1FUkGLTeuCaC,0.715,0.739,-3.779,0.041,0.578,0.0,0.0887,0.963,101.611,140984
6T5i0o62ZyfHRRHHihYJ1n,0.872,0.77,-6.722,0.538,0.0591,0.0,0.0663,0.817,147.061,113600
5QS8PNEWbqTEZyQ6e9ZbJf,0.659,0.683,-5.623,0.0312,0.513,4.93e-06,0.133,0.397,139.931,203373
6AtZLIzUINvExIUy4QhdjP,0.584,0.557,-6.371,0.0342,0.0129,0.0,0.0576,0.767,154.008,219760
6odrHMSLjP3aOXC4ipKUC6,0.775,0.465,-8.365,0.365,0.609,3.23e-05,0.114,0.707,169.781,223993
52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,-8.516,0.0834,0.357,0.0,0.111,0.83,205.863,216120
4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,140533
6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,-6.446,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747
1dg3qy5DjoJodawfOCgrTP,0.88,0.575,-6.091,0.163,0.415,0.0,0.109,0.671,120.031,232048
08SB2OtZkaliju77WYEKxk,0.707,0.618,-5.825,0.19,0.17,0.0,0.293,0.517,133.876,231498
37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,-8.726,0.29,0.181,0.0,0.142,0.381,86.975,221980
4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,198082
5YqltLsjdqFtvqE7Nrysvs,0.567,0.686,-6.139,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,193147
20O48JTG6O46tPAuZbliRA,0.66,0.58,-9.921,0.0393,0.0372,0.0,0.116,0.115,139.902,157780
5zFglKYiknIxks8geR8rcL,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048,227395
27NovPIUIRrOZoCHxABJwK,0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000
1MX19fnaW1OUQoglWTYaOo,0.635,0.772,-4.825,0.0279,0.216,0.0,0.285,0.948,119.017,147893
2ixkIrn45mNfdLDLHuyfRt,0.626,0.583,-7.346,0.0318,0.276,0.0,0.141,0.428,87.977,228145
3DZ8dbKg4OTSSqGARvecYd,0.659,0.745,-3.599,0.0347,0.0417,0.0,0.296,0.54,74.967,185600
6RiiSy9GzSwiyDEJDiMuKe,0.648,0.781,-8.736,0.0271,0.0332,0.013,0.305,0.822,133.417,153313
4w5hSBHaXu849xt0g9eeDg,0.799,0.655,-7.976,0.0373,0.491,3.91e-06,0.13,0.814,94.971,175935
4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301
0dGqP4VickYjtIaB5VOt4H,0.451,0.627,-4.59,0.127,0.591,0.00958,0.118,0.77,74.69,184000
5iMRhOHzze2CujxHiJ6cRL,0.599,0.61,-8.633,0.24,0.213,0.000414,0.151,0.434,159.933,252021
5r43qanLhUCdBj8HN3fa6B,0.697,0.875,-4.621,0.034,0.137,0.0,0.28,0.774,140.069,163855
3yII7UwgLF6K5zW3xad3MP,0.642,0.695,-5.62,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,230960
4eNOLmx8r2IJAVKvBBL1jv,0.808,0.639,-7.266,0.279,0.0802,0.0,0.15,0.395,118.0,144349
15hJmqqEtASVXl6sM7i4UF,0.615,0.6,-5.62,0.27,0.107,1.61e-06,0.283,0.0661,130.027,270671
5OLaVCAM2pqg7X9mAM2W8M,0.628,0.632,-5.932,0.0325,0.257,0.0,0.288,0.559,137.854,191227
0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695
37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014
3xVZYkcuWalGudeKl861wb,0.627,0.618,-8.529,0.0437,0.0558,0.0,0.351,0.848,82.03,197443
4OAuvHryIVv4kMDNSLuPt6,0.516,0.777,-4.908,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,223093
64SCQtbRtmO28ks1QhS3w5,0.633,0.664,-5.037,0.0294,0.46,0.0,0.108,0.268,115.058,156747
4CkgMiMqZ5JzW9iYXSTMTL,0.391,0.715,-4.516,0.0495,0.167,0.0,0.183,0.473,149.654,285107
4TIqzdAssasqx3DAe6cG9J,0.597,0.571,-6.205,0.293,0.492,0.0,0.093,0.165,106.196,218448
32BeYxKPrig1LefHsC0Xuo,0.334,0.599,-5.742,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444
46IZ0fSY2mpAiktS3KOqds,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695
2cEnKRR4dYBB2VA1mjlb1z,0.777,0.59,-8.741,0.286,0.397,0.0,0.169,0.238,147.978,155738
7bGwqRNetDyNOFDWJN8gvm,0.571,0.271,-12.231,0.0528,0.533,1.34e-06,0.0994,0.753,122.004,214627
760jhRscwGbIIe1m1IIQpU,0.65,0.584,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227
748mdHapucXQri7IAO8yFK,0.762,0.701,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
3CLSHJv5aUROAN2vfOyCOh,0.784,0.572,-9.853,0.0573,0.0748,0.843,0.139,0.209,96.181,132346
4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932,168602
5kItv0UayV5g4Xs9FMshDR,0.618,0.644,-10.663,0.0296,0.451,0.000105,0.352,0.861,98.721,155125
4l8CIibQf8cVk5BcrquSiD,0.821,0.304,-6.576,0.114,0.0175,0.0,0.118,0.217,78.089,65046
1r9xUipOqoNwggBpENDsvJ,0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381
