track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
5KE5i73iG4A7h8OyqyIaZK,villain,200392,0.312,0.876,-3.819,0.422,0.00628,7.86e-05,0.244,0.745,201.981,56
1Gv7Hvq1jRNRZgLJK4Yd6k,Spotlight On,150843,0.644,0.711,-7.503,0.0354,0.0642,0.000214,0.188,0.28,100.429,11
06FiXG2SpdQrpSnlXuuKyI,MilK,121617,0.553,0.948,-2.382,0.0731,0.000928,0.558,0.193,0.519,149.818,24
5sDONROTMEqu4lLr4TdlEM,Scythe of Death,156447,0.465,0.867,-10.651,0.0561,2.25e-05,0.807,0.163,0.349,130.066,7
0AvkkVLIYb7lMPIKYKlSBc,One Way Street,147204,0.54,0.957,-1.644,0.0618,0.165,0.00445,0.0843,0.65,150.031,35
4D2ClJQgqUmhwirFCsXCpW,幾望の月,295999,0.32,0.932,-4.809,0.102,0.114,4.84e-06,0.24,0.608,138.06,31
6jcfHnny3zWTUk4ikrLsK4,BREAK YOU!!,136107,0.398,0.941,-6.897,0.0374,0.000155,0.000171,0.279,0.847,166.972,3
68kzSOasUaWuouxVu3nOih,ECHO,227900,0.565,0.918,-5.159,0.0698,0.177,0.00759,0.132,0.272,140.047,24
2C55a461KncyJ6QwHxTtAS,Signature,140440,0.628,0.846,-8.073,0.1,0.00851,0.723,0.17,0.702,127.978,4
224yuPpqpZlL5qoqleqogO,popcorn,139720,0.602,0.844,-5.715,0.045,0.00781,0.0574,0.265,0.643,129.927,3
3iqj22k0JQE1S66OLOdZrS,Asteroid's Dream,138518,0.512,0.876,-4.155,0.0664,0.0211,0.664,0.0761,0.792,174.909,12
1rknPfhsPCqHYWEB99H5sZ,Brand New Day,271500,0.448,0.931,-5.305,0.0694,0.00241,0.000418,0.316,0.728,185.069,35
6c6fQ8k4yIUnLJEPy7zj3z,Kagerou Days,234733,0.585,0.918,-3.132,0.0482,0.000838,0.0893,0.166,0.966,99.986,50
4M4OqeGg80EYfvJ5fjDd5v,Variant Cross,122331,0.464,0.997,-3.754,0.102,0.000284,0.93,0.42,0.358,105.001,9
0Js5LPHKQPU7RfI7Vch8CH,暗晦にハイライト,149107,0.352,0.804,-6.189,0.0387,0.00045,0.0134,0.0604,0.447,95.105,5
56RlBLANUOuqFAoGxG2mba,Dual Fractal,123400,0.491,0.912,-7.038,0.0619,0.257,0.719,0.0851,0.439,160.015,5
0klRP9BGqEohJXqM9PgHoT,夢花火,137187,0.679,0.747,-4.962,0.0775,0.00328,4.99e-06,0.0323,0.726,93.039,13
4ETyVVaa84bmOZx6mXzxfZ,sweet little sister,238587,0.431,0.963,-0.175,0.0672,0.0132,0.000151,0.172,0.706,168.046,32
6GUCa9VvslrdrkoMqceb3A,Yoake to hotaru,308120,0.842,0.487,-4.921,0.0387,0.193,2.73e-05,0.0843,0.947,80.007,19
2HEIYSb4rKeM7CX8HXqOvS,Fur Alice,153600,0.486,0.256,-12.623,0.0299,0.887,0.525,0.11,0.394,156.008,19
6HUPvfUGNL99fjQzzBUiQA,One Happy Thing a Day,183088,0.59,0.509,-13.94,0.0337,0.202,0.0141,0.107,0.591,154.952,13
04kOYrZmVTzthWHsvoF8lN,トラフィック・ジャム,240315,0.721,0.9,-4.123,0.206,0.00131,0.000154,0.0914,0.747,129.985,37
3twHWebicMay9YmjwKCadk,Dyslexia,266254,0.474,0.996,-2.05,0.167,0.000196,0.203,0.108,0.208,155.017,10
2KMzLn44EAFssUbHpctsCF,Alien Alien,184000,0.497,0.944,-3.072,0.0925,0.0111,0.0,0.0959,0.646,151.845,32
3eNy1d6avlhmUn5vm6Wtue,Black Lair,144800,0.361,0.982,-2.793,0.355,5.74e-05,0.0261,0.299,0.214,150.131,22
0B96zn11fA3apNGZqERmPO,REFLECT,247680,0.646,0.813,-9.007,0.0863,0.0275,0.0,0.115,0.679,125.075,57
091br9TxGHN1Yove9shsCJ,First Twinkle,172160,0.547,0.941,-3.605,0.0917,0.0456,0.0,0.123,0.662,154.065,1
1ife31Wf4bF4Ha2osCVyij,雪男,148315,0.408,0.913,-10.963,0.276,0.00161,0.0655,0.386,0.311,128.13,23
6Iw8prSjCDbfVXwRItoySc,藍の華,227107,0.347,0.992,-1.647,0.365,0.00239,0.000193,0.184,0.143,197.911,26
72q53MCY7E7AWTwwLVvl1J,勇気を出して、その一歩を,213919,0.139,0.45,-9.257,0.0304,0.235,0.903,0.169,0.139,169.233,14
4JiEWvVkGa5sKtLsczTYP6,虚ろを扇ぐ - VOCALOID ver.,207581,0.757,0.662,-5.298,0.0407,0.284,0.0,0.162,0.826,124.076,31
4AFrXNyugm1EBTOJiz8enD,OVERWHELM!,250333,0.579,0.933,-3.091,0.0907,0.0331,0.0,0.271,0.565,145.027,33
5SyXv8S588cFqWkv7lsy7l,カナリア,196587,0.457,0.981,-2.176,0.122,0.000436,0.000232,0.131,0.496,145.966,16
2y7dXkx08cP1RPj2yeMCHm,終桜散華,155912,0.51,0.889,-9.359,0.0694,0.00071,0.265,0.227,0.502,170.053,16
6bDt2jhw6LeyLdBWtte8FD,ロング・スロー・アライブ,140280,0.596,0.912,-5.113,0.0656,0.0603,0.000186,0.11,0.507,99.972,6
4mQZdHByxpxVegYplxBK8A,Punai Punai Taiso,113358,0.674,0.995,0.662,0.147,0.572,0.00031,0.318,0.766,135.54,25
0QhHOoZTvsCHdF13UlowNl,愛のシュプリーム!,284000,0.656,0.976,-2.881,0.0609,0.268,0.0366,0.367,0.902,135.01,36
7v9gsIfnHpdkvVonXZWNwT,カンフーマスター=拳,80933,0.433,0.98,-5.467,0.0991,2.08e-06,0.858,0.297,0.675,142.978,7
41jrNkQZOemreNDrB1AoLi,ワーワーワールド (feat. 花里みのり&小豆沢こはね&初音ミク),205040,0.503,0.91,-6.561,0.316,0.00433,0.00758,0.123,0.841,159.964,43
6RR84PQUcY9BnV0T6NpnSX,雨模様,147438,0.591,0.612,-7.278,0.026,0.346,0.00991,0.354,0.657,109.957,47
0knyrWn3Pef9eWiHYoQWap,オススメ☆オスメス☆でぃすとぴあ,162133,0.602,0.985,-3.717,0.211,0.021,0.0,0.413,0.433,130.061,2
