album_artists,album_id,album_artists_id
Nelly,1a7BlXLCqjTxQh6X8L9JBL,2gBjLmx6zQnFGQJCAQpRgw
Japanese Breakfast,1uD1kdwTWH1DZQZqGKz6rY,7MoIc5s9KXolCBH1fy9kkw
Hensonn,3Q8XfnyXY1KUqnfjkyGwWa,0snouHYzOWSgxRBYMQsa3H
Tory Lanez,5Gm2XKBgnlzd6qTi7LE1z2,2jku7tDXc6XoB6MO2hFuqg
Drip-Drop,3C4JU2iVIEI5F8B59b7upA,0iDx4sYtJ0FfXi5tdGGXTA
Galantis,6kBuGNoOGE7uiPhN82dcJ1,4sTQVOfp9vEMCemLw50sbu
David Guetta,6kBuGNoOGE7uiPhN82dcJ1,1Cs0zKBU1kc0i8ypK3B9ai
Little Mix,6kBuGNoOGE7uiPhN82dcJ1,3e7awlrlDSwF3iM0WBjGMp
"Tyler, The Creator",45ba6QAtNrdv6Ke4MFOKk9,4V8LLVI7PbaPR0K2TGSxFF
Ed Sheeran,531c37GGv5IvddCvBv3sWT,6eUKZXaKkcviH0Ku9w2n3V
Nature Recordings,1SXdfBOoIPb094UtbsLjvP,4xE3NbWDeC7BEIlzQIjG5H
Rain Recorders,1SXdfBOoIPb094UtbsLjvP,5GNSiWmGlKoycbxC8htQaH
YOUNGX777,7l72jwIz37QsEP1RzSNG5O,6JFaTYyfO9VRWnlC3ypYJh
KAROL G,5CS8E6JVACItYto4OOJoPW,790FomKkXshlbRYZFtlgla
Noah Kahan,0b693AisoJYg4Ilj10LkYG,2RQXRUsr4IW1f3mKyKsy4B
Big Scarr,3p89sh1IV385sHS85PHe8w,579LsvZcRVKtToYjS0tkKz
Taylor Swift,4hDok0OAJd57SGIT8xuWJH,06HL4z0CvFAxyc27GXpf02
Dylan Scott,3497MUjpGLcslVVb9ZeteM,78YqeIji3mgAS2K1Maca6x
Riton,39qsmsNRXjVaFqTZj9af0j,7i9j813KFoSBMldGqlh2Z1
Nightcrawlers,39qsmsNRXjVaFqTZj9af0j,1gALaWbNDnwS2ECV09sn2A
Mufasa & Hypeman,39qsmsNRXjVaFqTZj9af0j,4L2dV3zY7RmkeiNO035Fi0
Falling into Pink,4B143uGP1Wwhb5xO95nvaS,6GpFiBAVovOVJfK7OTWnxN
$uicideboy$,6mSqysiE0NE7TbFosoJGTv,1VPmR4DJC1PlOtd0IADAO0
Dayglow,0brMHlMYz5t58uT1Q4bkdF,6eJa3zG1QZLRB3xgRuyxbm
Cochren & Co.,3Us0eofAYq7tRuaH7A56i0,50hkKRxo0g8Ck4JqlwoJr4
Giveon,5cAd6WOG1zVNQ2KDCOLtuf,4fxd5Ee7UefO4CUXgwJ7IP
Bo Burnham,35qVMfUfBN6q2xzm9rZn5a,2Waw2sSbqvAwK8NwACNjVo
Lil Baby,0SO86DCFiwaTqchBpujace,5f7VJjfbwm532GiveGC0ZK
EST Gee,0SO86DCFiwaTqchBpujace,4FlG0V0jhLO4qGpayFOphj
GRAVECHILL,44NnM38oAf0i0gWqkVVA1x,1EnZjgGD81emhSdq6adEKt
Fuerza Regida,1UtMaTZl4kau9NSFqc8wHp,0ys2OFYzWYB5hRDLCsBqxt
Stray Kids,558tpdCejjVQNFAumRAeQj,2dIgFjalVxs4ThymZ67YCE
Kay Flock,5DMfgmlbRD0HeUi5QQgOAD,2AMeiDbfU2vonrTkpXDKUu
Spiritbox,6cZ39G1mahxDAGfoPzDllb,4MzJMcHQBl9SIYSjwWn8QW
