album_id,album_name,album_total_tracks,album_popularity
0c6lcJKUnuBj8qtwZDgXpw,All Time Favorite Lullabies,3,64
6AeF9IkXFpHz5H3wUNX3L3,Eyes Open (Taylor's Version),1,66
4y50i4pFfW9v9vAvxuLFBw,Sleep Gravity,2,65
56meo2KJ9tRlaGUHSGfTpP,I GUESS I'M IN LOVE,2,69
4eyBviSES0CZjUaipdnHku,Good Morning It's Now Tomorrow,13,66
7F9yYqHRtIZnEGF2tANI4b,Your Love (9PM),1,71
3hFObbQaeADDqmUJM6BXlQ,Beautiful Imagination,1,62
6N9oICOUm4QT2YpWdKwUlu,Ball If I Want To,1,65
6SEeNB2xGW1kmysKSvWYqC,Me or Sum (feat. Future & Lil Baby),1,57
6JlCkqkqobGirPsaleJpFr,Dangerous: The Double Album,30,90
2oyN9nzl627l8ZeovPo46F,From The Bayou,13,64
5x7JzoE4A3DwwU6FPt8qws,Overexposed,12,64
3uW306euM0l6tAJpae90LS,I'm so crazy for youuu </3,1,62
5YFrFIwYuNxdYIA0I0qFy1,My God Is Still The Same,1,60
35UOSWUudVMViGWMUXiNQC,Oxy & Codeine,4,61
5gdgH8d7W2KwkK03Ea0vpi,Flower Shops (feat. Morgan Wallen),1,64
2ZaFqYD9a3U6qJhyS2LDRf,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",1,64
538BxdI7oOQykSkEtyjhUD,Dangerous Levels of Introspection,13,69
5hy25TSUbMLRjGzyQp0FMR,Distant Rain,4,60
0XCoR1j5Sa2su9uDS9AScR,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter,6,66
7wHczdY0ek3FHnfVhk10om,The Lockdown Sessions,16,65
3i5LIueVgxjgCu1TIZOraP,23,1,62
7gEGuvkVs79hY4tG7OYnzx,Thot Shit,1,63
2wwCc6fcyhp1tfY3J6Javr,Blue Banisters,15,76
4U0en0trmZzCyst9IvCvDA,Cloudburst,4,60
5uL2IYw4ub2PuWRIESxwzd,Amor,1,66
5r8T7S23cVDSd7a045h4N5,Primer Dia de Clases,16,80
5itVTi6rI3MlOcWBxROxd9,When I’m Gone (with Katy Perry),1,71
28wKxlJocWCrrxUgYC2zEQ,Spotify Singles,2,62
0zwSEVp17wHbivhkBSHJY6,El Dorado,1,61
3G0b8ob9anYQl8a1t3GpOF,Close Eyes,1,76
1ecaLnHZm8kr5Eu63Xw6UU,Baby,1,60
1hJUh5y1ggqqGsCivnRmHw,I Hate U,1,66
7LlTjovytMWtPVHm7cJku2,FRIKI,1,67
5aSofcF0U90UxJaDr62r6X,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",1,63
01mFXTbIelBrBEs8Hw3QbI,County Line,1,63
2Nt6MDJXfoxQ22tIQgWXIh,VICE VERSA,14,85
2uXE0PE2nWgjXDV6nZi1l0,don’t miss me,1,59
5LuoozUhs2pl3glZeAJl89,Scary Hours 2,3,78
58MbYehGOl5NAOdfWY5aHa,Big Energy,1,66
0DqDdZGSQkWQiE0TzBqeLA,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],8,65
5vkFV8CLrYIXm5ag9bwdto,Relax with Brown Noise,2,59
00rNMpiSdqmVWMmQsahNTo,Bet You're from a Small Town,15,62
1KBoH5xsMCXPuVsZMORvtO,la di die (feat. jxdn),1,61
3apQZbgVql9mHJlp43jk5D,METAMORPHOSIS,1,81
38nZLvJx8A9p4YYpTG5iFP,Still Sleep?,14,80
1otOJAtgvO5VCBL4Gykrrd,When It's All Said And Done... Take Time,13,75
2Jj4mjzEDaXp9X3AHpo5Gu,Money,15,69
4LBe254NURiRmej6BSdQLn,Lamento Boliviano,1,58
7q5xGp0tEnJ8s1ZumqiRSk,SoulFly,19,75
00vb6sViDbJLmLLchfbRh4,Taste of Love,6,67
6UsualeqgzPnb8cfaQ5nL7,Envolver,1,70
4TXZgt2GxZONIMcxAhVH9w,Love </3,5,68
2vb8B3MYGjfYlGch4KlEfe,Wishful Drinking (with Sam Hunt),1,58
4d0a5uamW9NWRc1KXFeErI,Run,1,67
2VG4oj0kGjOydr6j8deI7Z,Division,12,65
6o86bV7TAt5x4exc2qLDqC,Actual Life (April 14 - December 17 2020),17,75
6LBPsXUjVuNe9ywLY4xgvX,Dangerous: The Double Album (Bonus),33,74
2VUhkRrg5dEJIGewOBOc7J,Moon Boy,15,68
4Qku5Zl0Smuzw2ZbupxtaV,Sleazy Flow,1,63
48ahZJLcagb8VTgRAuv6WQ,Ramen & OJ,1,68
7EO5zGsZP0HHxEhSLGw2aj,Trëndi,4,69
4MCZWUKxkvdMITh4KapBKX,Volando (Remix),1,73
4aGM4L8ks2bc51kAKcVA9V,all I want is you,1,69
407qOoTCcCGtc6DP2Wm0zi,Malory,1,70
