track_id,track_name,track_popularity,track_sampl,album_id
18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,82,https://p.scdn.co/mp3-preview/6920a1b1e7a88385654fdb76c83b054609d16172?cid=f588ee129cec4da4a194ece6210ffab6,7KSf6p0G0mZd7j60etVTwT
075qcpR3BnxD5CWUIx1HTr,This Bar,78,https://p.scdn.co/mp3-preview/60e2dc1a77e1c38404b9d25f7df040a002466736?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
4S4QJfBGGrC8jRIjJHf1Ka,Pain,82,https://p.scdn.co/mp3-preview/b5c7a7b534fd44e136790dbbedf87f3d7e37887c?cid=f588ee129cec4da4a194ece6210ffab6,65YAjLCn7Jp33nJpOxIPMe
1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),80,https://p.scdn.co/mp3-preview/7e9c5c07b6642b92e34670a0eec0316884788c88?cid=f588ee129cec4da4a194ece6210ffab6,4JAvwK4APPArjIsOdGoJXX
4XvcHTUfIlWfyJTRG0aqlo,2055,82,https://p.scdn.co/mp3-preview/d05766a84b267bc5518625b595b8c9f333b46e31?cid=f588ee129cec4da4a194ece6210ffab6,38nZLvJx8A9p4YYpTG5iFP
7BbaIYAdi3pg4MGl6PHwPv,Monëy so big,81,https://p.scdn.co/mp3-preview/69d8c2b461a7f23cb61efc3439b3902adc261005?cid=f588ee129cec4da4a194ece6210ffab6,1x55Z0fYARLdeJVjG2UESs
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,87,https://p.scdn.co/mp3-preview/667e62a782667b01e98006cd3ba42c9852b62bea?cid=f588ee129cec4da4a194ece6210ffab6,0JGOiO34nwfUdDrD612dOp
50nfwKoDiSYg8zOCREWAm5,Shivers,88,https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=f588ee129cec4da4a194ece6210ffab6,32iAEBstCjauDhyKpGjTuq
5CZ40GBx1sQ9agT82CLQCT,traitor,87,https://p.scdn.co/mp3-preview/a4d56d0c958bd27dec4cddefe6ba87036136c9f0?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
6I3mqTwhRpn34SLVafSH7G,Ghost,88,https://p.scdn.co/mp3-preview/10746d0627d5dd428001083030cf6726c5e92c67?cid=f588ee129cec4da4a194ece6210ffab6,5dGWwsZ9iB2Xc3UKR0gif2
25VQoiuyc0HkC5FQTj1a8G,Son Of A Sinner,77,https://p.scdn.co/mp3-preview/0453b38bfe76fbd1cdc67ca63154fc024c875247?cid=f588ee129cec4da4a194ece6210ffab6,4aWPCLZWr9gG0ucLIMJavx
5AihIu9yF3flkw1jFMyfwW,Human,77,https://p.scdn.co/mp3-preview/01f2998d06629224b4552d2c7957029599ae16db?cid=f588ee129cec4da4a194ece6210ffab6,3og8X1LYiVq3nPdMxpM9Wb
6HU7h9RYOaPRFeh0R3UeAr,deja vu,86,https://p.scdn.co/mp3-preview/3882d764b154e61eade78125e885337ad9d85ae7?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),84,https://p.scdn.co/mp3-preview/93a61f13e0f9551a6d60a6f540871d14bc4d78ed?cid=f588ee129cec4da4a194ece6210ffab6,4hDok0OAJd57SGIT8xuWJH
2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,89,https://p.scdn.co/mp3-preview/61baac6cfee58ae57f9f767a86fa5e99f9797664?cid=f588ee129cec4da4a194ece6210ffab6,3apQZbgVql9mHJlp43jk5D
6Uj1ctrBOjOas8xZXGqKk4,Woman,87,https://p.scdn.co/mp3-preview/2ae0b61e45d9a5d6454a3e5ab75f8628dd89aa85?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
5JCoSi02qi3jJeHdZXMmR8,favorite crime,85,https://p.scdn.co/mp3-preview/3ea986c6b9ef5ae5601a3d640a1c13cb873dc340?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
3EG9FJ0ToLfgnc1IG2Z1wz,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),80,https://p.scdn.co/mp3-preview/d82ed534bd9772e180cd03bd5636de771ac2cf75?cid=f588ee129cec4da4a194ece6210ffab6,45ba6QAtNrdv6Ke4MFOKk9
7nc7mlSdWYeFom84zZ8Wr8,Tell Em,81,https://p.scdn.co/mp3-preview/fd0fe0658c90405f68c84cab80557d2b060a2414?cid=f588ee129cec4da4a194ece6210ffab6,3OE8gkPLqI9zr3hlEz6ruQ
1Is8hGpkGMiePASAxBluxM,16,79,https://p.scdn.co/mp3-preview/ed6e777ae611109bb9c130e879fc0ef692824ed4?cid=f588ee129cec4da4a194ece6210ffab6,3r46DPIQeBQbjvjjV5mXGg
1EJIcDYXwSqipW5dFe4uJz,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),78,https://p.scdn.co/mp3-preview/1751fb43e83267f15296a0f19705e1b419f2de82?cid=f588ee129cec4da4a194ece6210ffab6,5kE2OAuUYGBqqzscqgBXXf
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),82,https://p.scdn.co/mp3-preview/b2c1ed4794591a6266401294b48e2034768d5f73?cid=f588ee129cec4da4a194ece6210ffab6,4j2syEjl3h1To8KbRgvmJn
0sTlGEld0h8kIPZaKDYUf4,Notion,82,https://p.scdn.co/mp3-preview/1b9ddf494b74972ba48768db80a192f4a419b450?cid=f588ee129cec4da4a194ece6210ffab6,4Uf8BVznefnd2xZm2nRFUx
22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You (Taylor’s Version),83,https://p.scdn.co/mp3-preview/d40ac5b2f3d937665df2deb68f81d73fa982cd01?cid=f588ee129cec4da4a194ece6210ffab6,4hDok0OAJd57SGIT8xuWJH
5wANPM4fQCJwkGd4rN57mH,drivers license,86,https://p.scdn.co/mp3-preview/8265999e85ac5e27aad154a8fdbdd502059e1d00?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,86,https://p.scdn.co/mp3-preview/f813247a989bb9e3c008b573d52a61f39a3e8823?cid=f588ee129cec4da4a194ece6210ffab6,18CtLoAMTr7F8ngtuM6D8i
77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),79,https://p.scdn.co/mp3-preview/369c245de23f7ad5e1e4f7823372c705050b00fc?cid=f588ee129cec4da4a194ece6210ffab6,4hDok0OAJd57SGIT8xuWJH
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),87,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=f588ee129cec4da4a194ece6210ffab6,4QLAtpLNUsHEYrcHXmMIZZ
4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,76,https://p.scdn.co/mp3-preview/0f87c1e0b3e7b28cdf8c14cb48c843d2679a56a8?cid=f588ee129cec4da4a194ece6210ffab6,3og8X1LYiVq3nPdMxpM9Wb
5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),78,https://p.scdn.co/mp3-preview/f285d575307ee81e5a44825bd6cd5e65398bb085?cid=f588ee129cec4da4a194ece6210ffab6,45ba6QAtNrdv6Ke4MFOKk9
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,87,https://p.scdn.co/mp3-preview/22f3a86c8a83e364db595007f9ac1d666596a335?cid=f588ee129cec4da4a194ece6210ffab6,32iAEBstCjauDhyKpGjTuq
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,82,https://p.scdn.co/mp3-preview/153dc4a72a260497f8ea87a00e2af7afb0a0df08?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),84,https://p.scdn.co/mp3-preview/b4295bdbb2bc87e9ec34ae189947ba1fae5a70ed?cid=f588ee129cec4da4a194ece6210ffab6,66JuK41D3LpkbX3HCTGcQk
0k4d5YPDr1r7FX77VdqWez,You Right,83,https://p.scdn.co/mp3-preview/6f9e50e5f716c7e2441d4e0262304656c5b108fa?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
3jHBgKdLCf46aP3HRI0WYv,World's Smallest Violin,73,https://p.scdn.co/mp3-preview/6b65a65ca23c52900dc52c8ea2437e3d79bd6059?cid=f588ee129cec4da4a194ece6210ffab6,1y2AzG31F4CuCKQ1rpIzaI
5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,80,https://p.scdn.co/mp3-preview/58b689187fae2dd91dc5deb5ea9d4363b58c32e6?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),82,https://p.scdn.co/mp3-preview/2903cc27c1a5bd03f247a7f83ace394c36d3c75f?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",83,https://p.scdn.co/mp3-preview/19091d2c79858c787fbdfc0f4c2b6f509b81114a?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),79,https://p.scdn.co/mp3-preview/d849e3ad098853384efd6562ea61fdde25519e78?cid=f588ee129cec4da4a194ece6210ffab6,2wcv0lHk5fUYyNGKugGa7q
2JPLbjOn0wPCngEot2STUS,Yonaguni,85,https://p.scdn.co/mp3-preview/cbade9b0e669565ac8c7c07490f961e4c471b9ee?cid=f588ee129cec4da4a194ece6210ffab6,6VSOIs13DaSG2IPilNviX5
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,81,https://p.scdn.co/mp3-preview/687f6e37a7d7ae26e7a7a7bd252945da7d1bb894?cid=f588ee129cec4da4a194ece6210ffab6,3MEKpJ7wSSp6Z661ThjrUJ
1PDP7mLiAMwhfmgIwzhOm2,Yebba’s Heartbreak,80,https://p.scdn.co/mp3-preview/38439c23dba48a33153558939330d9506fb4e03a?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,77,https://p.scdn.co/mp3-preview/e89e09a9d2e63bcbbffd99c3ba38c05b41fb5816?cid=f588ee129cec4da4a194ece6210ffab6,7nTvm6EgmFWPLMLxj6aksS
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),78,https://p.scdn.co/mp3-preview/57185c92271e4695949b17b0c63a4d1acc4444b7?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
4VHkjPgAis9JNfc1URn7zZ,Sorry Bout That,78,https://p.scdn.co/mp3-preview/a55bc100e5c9e1516e261ba45b8801ef5b14d991?cid=f588ee129cec4da4a194ece6210ffab6,05QOSu1AEcQxM5jvZFuann
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),86,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=f588ee129cec4da4a194ece6210ffab6,576UTio7xgY7YUxrHMzxeI
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,79,https://p.scdn.co/mp3-preview/eeae20ff06a1473750df3800b820b5eb61f7c033?cid=f588ee129cec4da4a194ece6210ffab6,6AORtDjduMM3bupSWzbTSG
6G2xXQRSZlEzYsUEb3uvuR,Está Dañada,77,https://p.scdn.co/mp3-preview/e04100cdf6057c67522a3b50db4137defae411d6?cid=f588ee129cec4da4a194ece6210ffab6,4DmITPOATTsiWEWtJrPqkk
4NgherJDfCXWBZBYheM4jK,WASTE,82,https://p.scdn.co/mp3-preview/55d92fab7b15ed802722d512d6187508572b2599?cid=f588ee129cec4da4a194ece6210ffab6,3yKGB4IYu6MeLkhFJFn9eI
42lqBjPYlmL1EXpMDXvhSN,Somebody’s Problem,74,https://p.scdn.co/mp3-preview/b0e7471cb0eccc5a3e69ffebcf11d83a2eb7aca6?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,83,https://p.scdn.co/mp3-preview/2f06384101ad1a5aa6b02f6fc24b59789c2ab54d?cid=f588ee129cec4da4a194ece6210ffab6,1YgekJJTEueWDaMr7BYqPk
7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),78,https://p.scdn.co/mp3-preview/e354f034ac7940e1cb0e0036c48baf3bcb46c4e2?cid=f588ee129cec4da4a194ece6210ffab6,3HqmX8hGcbbQZODgayNEYx
4aSRUXfKuBbmje0eXNukuL,It Matters To Her,74,https://p.scdn.co/mp3-preview/d12347cf047339898a81418f2baad385d61dbfd1?cid=f588ee129cec4da4a194ece6210ffab6,0R9QjGSDl6EX4yWu3Rr1eU
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),79,https://p.scdn.co/mp3-preview/7d4974829ad00a6a06eac7970dd99fe1e4fde57f?cid=f588ee129cec4da4a194ece6210ffab6,1nAQbHeOWTfQzbOoFrvndW
5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),77,https://p.scdn.co/mp3-preview/51882f7c051ffd98ee111f3e992e881470e8bd4f?cid=f588ee129cec4da4a194ece6210ffab6,4JAvwK4APPArjIsOdGoJXX
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,86,https://p.scdn.co/mp3-preview/2b3e7aadb75891a4ceccb69d54d60d0fb5178500?cid=f588ee129cec4da4a194ece6210ffab6,5D8Rdb09BkmHscEGSWAlA6
5FQPpxOXsvkMN6v18gtpwY,Bang!,72,https://p.scdn.co/mp3-preview/74f911dec3dfddbf7919e6139faf19aa37795d42?cid=f588ee129cec4da4a194ece6210ffab6,1y2AzG31F4CuCKQ1rpIzaI
751srcHf5tUqcEa9pRCQwP,Tek It,78,https://p.scdn.co/mp3-preview/4b349447a4514c1d788c6910ffb4340de1aa8c0a?cid=f588ee129cec4da4a194ece6210ffab6,2dEf6lN5qYFQQy3Jd3ScHG
2tGvwE8GcFKwNdAXMnlbfl,happier,85,https://p.scdn.co/mp3-preview/f927561183b0bc67a020c0460f77848376d74482?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,82,https://p.scdn.co/mp3-preview/6a4c20a5b9f5eaeee3f934b02e6f043825ce5194?cid=f588ee129cec4da4a194ece6210ffab6,2JnZQM70jbT0J1Xq0qgl24
5fwSHlTEWpluwOM0Sxnh5k,Pepas,84,https://p.scdn.co/mp3-preview/d34fb702d404e62f9816de0af525a7e2786a2c00?cid=f588ee129cec4da4a194ece6210ffab6,2A5ksnhz7YWbRLvFMjX1j1
4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,75,https://p.scdn.co/mp3-preview/01f6ee2ac9540d2c3dff7513c6219d8bb04d5002?cid=f588ee129cec4da4a194ece6210ffab6,0kxA9Bc8pamypR5GYXmeti
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,84,https://p.scdn.co/mp3-preview/f6958f897e3817fcbb6647d62f66c71ee96d1981?cid=f588ee129cec4da4a194ece6210ffab6,6pOiDiuDQqrmo5DbG0ZubR
2pUhY7tWx8egpw2qn84iSi,Slumber Rain,77,https://p.scdn.co/mp3-preview/6146b06fa678e08bb0bcf1d9b1adb36837311b27?cid=f588ee129cec4da4a194ece6210ffab6,0dk1131P27XQgkbt8bbkiU
0sKEilrw1GrBlG6qsTCrP4,865,74,https://p.scdn.co/mp3-preview/d0484f6b1e092c5fa226c727a7b7030abfe966d4?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),80,https://p.scdn.co/mp3-preview/8d949db76b94c73e48890b86a7e5d559531cd965?cid=f588ee129cec4da4a194ece6210ffab6,4hDok0OAJd57SGIT8xuWJH
2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,77,https://p.scdn.co/mp3-preview/ae7603a040d85a7c7edc00d88b7e18fc3828233b?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
1hHnCReCPe1FUkGLTeuCaC,Me Acostumbre A Lo Bueno,79,https://p.scdn.co/mp3-preview/855e95393c0aab649f9cbb27c6806a867a7b8cae?cid=f588ee129cec4da4a194ece6210ffab6,1UtMaTZl4kau9NSFqc8wHp
6T5i0o62ZyfHRRHHihYJ1n,PSA,77,https://p.scdn.co/mp3-preview/51041ef4ec80354c1b3fc0b09a62d64c1c7977f3?cid=f588ee129cec4da4a194ece6210ffab6,5DMfgmlbRD0HeUi5QQgOAD
5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,74,https://p.scdn.co/mp3-preview/fc9b8a24362da3c57af22546f4b3d9fb0e727a9a?cid=f588ee129cec4da4a194ece6210ffab6,3I0SEplNpqsPfnLVZsNPif
6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),78,https://p.scdn.co/mp3-preview/c9076346853dd9b9277a96a71111bc11c87c1116?cid=f588ee129cec4da4a194ece6210ffab6,6kZ42qRrzov54LcAk4onW9
6odrHMSLjP3aOXC4ipKUC6,La Bebe,87,https://p.scdn.co/mp3-preview/a38c13f5b2c1877f95959264e2a3a9b7c7a3fbab?cid=f588ee129cec4da4a194ece6210ffab6,0CPD6yP11H86RohYYNBD76
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,77,https://p.scdn.co/mp3-preview/fb8f8f2189444631e0b3d37dbb25baebb6830f25?cid=f588ee129cec4da4a194ece6210ffab6,25L8ck3KGcmCo3901ztPzR
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),82,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=f588ee129cec4da4a194ece6210ffab6,270o30h7cAlEhBnbuSpFZq
6SRsiMl7w1USE4mFqrOhHC,brutal,79,https://p.scdn.co/mp3-preview/30a4c1f7cd1a45e2de45627deb66a685edd10e1b?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
1dg3qy5DjoJodawfOCgrTP,Run It Up (feat. Offset & Moneybagg Yo),78,https://p.scdn.co/mp3-preview/65122420e08baf52a9cd5e28d694a379c4b125b6?cid=f588ee129cec4da4a194ece6210ffab6,3MEKpJ7wSSp6Z661ThjrUJ
08SB2OtZkaliju77WYEKxk,No Love (with SZA),78,https://p.scdn.co/mp3-preview/c5e8a0edc4650255fd866ed0120febcf027a18f4?cid=f588ee129cec4da4a194ece6210ffab6,4lPqFAvgmG97pxyxQsyCQx
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),78,https://p.scdn.co/mp3-preview/d9a8fa95e2668724dd06bf3c7bc96dd0897748e1?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),84,https://p.scdn.co/mp3-preview/cc4a3aa7b548792f4f37f4501303010985442876?cid=f588ee129cec4da4a194ece6210ffab6,5dGWwsZ9iB2Xc3UKR0gif2
5YqltLsjdqFtvqE7Nrysvs,We Are Never Ever Getting Back Together (Taylor's Version),79,https://p.scdn.co/mp3-preview/918f2323eaf64a178283b60b6a027bd7cde13c46?cid=f588ee129cec4da4a194ece6210ffab6,6kZ42qRrzov54LcAk4onW9
20O48JTG6O46tPAuZbliRA,Gët Busy,76,https://p.scdn.co/mp3-preview/57f1c8b1a73660f108bc09c8b8c1ad8fbe61cf9f?cid=f588ee129cec4da4a194ece6210ffab6,1x55Z0fYARLdeJVjG2UESs
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),81,https://p.scdn.co/mp3-preview/952fe343712095ebea9aa06609ff83c3fe6e9ccb?cid=f588ee129cec4da4a194ece6210ffab6,1pCA38N6MkLlthXtAOvZTU
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),83,https://p.scdn.co/mp3-preview/e692ccfcdfe7010a8c1ed61de7937c7686ed072d?cid=f588ee129cec4da4a194ece6210ffab6,622NFw5Yk0OReMJ2XWcXUh
1MX19fnaW1OUQoglWTYaOo,Dangerous,73,https://p.scdn.co/mp3-preview/0263c0437bb034abfa61fc538de4b57c3f1b072c?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
2ixkIrn45mNfdLDLHuyfRt,23,76,https://p.scdn.co/mp3-preview/3eecc5c99bdf656565487479a00b51b008da860d?cid=f588ee129cec4da4a194ece6210ffab6,2iooIm9txIXCow2rvSg7Aa
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),73,https://p.scdn.co/mp3-preview/6a1efab987254856fdcd7372dc57d61e98a18e46?cid=f588ee129cec4da4a194ece6210ffab6,021fiBoLY6KwQmgIvByEtG
6RiiSy9GzSwiyDEJDiMuKe,Something About You,79,https://p.scdn.co/mp3-preview/e4fce31a7c0073b2eb93a0201f8825ecd94c4d32?cid=f588ee129cec4da4a194ece6210ffab6,0QB8JzlX70ame6G972aEF1
4w5hSBHaXu849xt0g9eeDg,La Melena,79,https://p.scdn.co/mp3-preview/170a011bf45799d860edd3b1fe237c9cb0c6c7a2?cid=f588ee129cec4da4a194ece6210ffab6,1OFfEo5jIQpvjQXD8OFcsx
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),83,https://p.scdn.co/mp3-preview/ef5722ef78b29d0335bd5fbff2c7cb728616d6b1?cid=f588ee129cec4da4a194ece6210ffab6,4589OIFRZp41qbsp7TWFCx
0dGqP4VickYjtIaB5VOt4H,3:15 (Breathe),80,https://p.scdn.co/mp3-preview/18b28c3280375d6187771ac87668957a632d500e?cid=f588ee129cec4da4a194ece6210ffab6,6QYK9rRB1nJ1ZnhEiOKT1J
5iMRhOHzze2CujxHiJ6cRL,Street Runner,73,https://p.scdn.co/mp3-preview/074b0732b5dfd0a29f1f4473aeeeb90735b7107a?cid=f588ee129cec4da4a194ece6210ffab6,7q5xGp0tEnJ8s1ZumqiRSk
5r43qanLhUCdBj8HN3fa6B,Sunshine,82,https://p.scdn.co/mp3-preview/5a4cafd427b29258c8f24f8ac8cb0cdadfd9607d?cid=f588ee129cec4da4a194ece6210ffab6,2YSlIS6gM38w7ZJNj8F3s6
3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),77,https://p.scdn.co/mp3-preview/380e9c4616413ad6409021af95f6375983e0ddee?cid=f588ee129cec4da4a194ece6210ffab6,6kZ42qRrzov54LcAk4onW9
