artist_id,track_id
0du5cEVh5yTK9QJze8zA0C,02VBYrHfVwfEWXk5DXyf0T
3jK9MiCrA42lLAdMGUZpwa,02VBYrHfVwfEWXk5DXyf0T
6PvvGcCY2XtUcSRld1Wilr,02VBYrHfVwfEWXk5DXyf0T
5SXuuuRpukkTvsLuUknva1,7Bpx2vsWfQFBACRz4h3IqH
2YZyLoL8N0Wb9xBt1NhZWg,7Bpx2vsWfQFBACRz4h3IqH
6ZV6lGY0prbqpTD0Md8i29,4aSRUXfKuBbmje0eXNukuL
5cj0lLjcoR7YOSnhnX0Po5,0W6I02J9xcqK8MtSeosEXb
6l3HvQ5sa6mXTsMTB19rO5,5W8jRrZ6tWrTrqnKRtIQBf
5f7VJjfbwm532GiveGC0ZK,5W8jRrZ6tWrTrqnKRtIQBf
3PhoLpVuITZKcymswpck5b,6zSpb8dQRaw0M1dK8PBwQz
6M2wZ9GZgrQXHCFfjv46we,6zSpb8dQRaw0M1dK8PBwQz
6n28c9qs9hNGriNa72b26u,6zSpb8dQRaw0M1dK8PBwQz
6s22t5Y3prQHyaHWUN1R1C,5FQPpxOXsvkMN6v18gtpwY
581C5Qwl87TskfBEzuoisu,751srcHf5tUqcEa9pRCQwP
1McMsnEElThX1knmY4oliG,2tGvwE8GcFKwNdAXMnlbfl
7riQPkkGZBnTh9ve5qIhYo,5RBOcBpJXaNnHCGViJmYhh
329e4yvIujISKGKz1BZZbO,5fwSHlTEWpluwOM0Sxnh5k
46SHBwWsqBkxI7EeeBEQG7,4A8cWXxKfIL3lAyUDzXbCF
7jVv8c5Fj3E9VhNjxT4snq,0e8nrvls4Qqv5Rfa2UhqmO
7kgwMm8d2igABad4wfEKti,2pUhY7tWx8egpw2qn84iSi
4oUHIQIBe0LHzYfvXNW4QM,0sKEilrw1GrBlG6qsTCrP4
06HL4z0CvFAxyc27GXpf02,6YvqWjhGD8mB5QXcbcUKtx
3TVXtAsR1Inumwj472S9r4,2HSmyk2qMN8WQjuGhaQgCk
0ys2OFYzWYB5hRDLCsBqxt,1hHnCReCPe1FUkGLTeuCaC
2AMeiDbfU2vonrTkpXDKUu,6T5i0o62ZyfHRRHHihYJ1n
6tPHARSq45lQ8BSALCfkFC,5QS8PNEWbqTEZyQ6e9ZbJf
06HL4z0CvFAxyc27GXpf02,6AtZLIzUINvExIUy4QhdjP
1NNRWkhwmcXRimFYSBpB1y,6odrHMSLjP3aOXC4ipKUC6
29PgYEggDV3cDP9QYTogwv,52xJxFP6TqMuO4Yt0eOkMz
36CUTsdtNgCwMq6zKD1l8I,52xJxFP6TqMuO4Yt0eOkMz
72kqSqk124Vnl1wtT6q9Fh,52xJxFP6TqMuO4Yt0eOkMz
2as15AH2BTrPk8v4gyElmr,52xJxFP6TqMuO4Yt0eOkMz
18MFcGBHtyW0mU3ufcm0X1,52xJxFP6TqMuO4Yt0eOkMz
5PYToRCsrnvikZg3yl2JMr,52xJxFP6TqMuO4Yt0eOkMz
3xLU748QxpTmIVaiNXXg0P,52xJxFP6TqMuO4Yt0eOkMz
6fWVd57NKTalqvmjRd2t8Z,4jPy3l0RUwlUI9T5XHBW2m
6ASri4ePR7RlsvIQgWPJpS,4jPy3l0RUwlUI9T5XHBW2m
1McMsnEElThX1knmY4oliG,6SRsiMl7w1USE4mFqrOhHC
6jGMq4yGs7aQzuGsMgVgZR,1dg3qy5DjoJodawfOCgrTP
4DdkRBBYG6Yk9Ka8tdJ9BW,1dg3qy5DjoJodawfOCgrTP
3tJoFztHeIJkJWMrx0td2f,1dg3qy5DjoJodawfOCgrTP
57LYzLEk2LcFghVwuWbcuS,08SB2OtZkaliju77WYEKxk
7tYKF4w9nC0nq9CsPZTHyP,08SB2OtZkaliju77WYEKxk
3TVXtAsR1Inumwj472S9r4,37Nqx7iavZpotJSDXZWbJ3
5f7VJjfbwm532GiveGC0ZK,37Nqx7iavZpotJSDXZWbJ3
1uNFoZAHBGtllmzznpCI3s,4iJyoBOLtHqaGxP12qzhQI
20wkVLutqVOYrc0kxFs7rA,4iJyoBOLtHqaGxP12qzhQI
4fxd5Ee7UefO4CUXgwJ7IP,4iJyoBOLtHqaGxP12qzhQI
06HL4z0CvFAxyc27GXpf02,5YqltLsjdqFtvqE7Nrysvs
3qiHUAX7zY4Qnjx8TNUzVx,20O48JTG6O46tPAuZbliRA
04gDigrS5kc9YWfZHwBETP,5zFglKYiknIxks8geR8rcL
181bsRPaVXVlUKXrxwZfHK,5zFglKYiknIxks8geR8rcL
7jVv8c5Fj3E9VhNjxT4snq,27NovPIUIRrOZoCHxABJwK
2LIk90788K0zvyj2JJVwkJ,27NovPIUIRrOZoCHxABJwK
4oUHIQIBe0LHzYfvXNW4QM,1MX19fnaW1OUQoglWTYaOo
5ujvZU2thXjZgFKPUt1rDt,2ixkIrn45mNfdLDLHuyfRt
3hcs9uc56yIGFCSy9leWe7,3DZ8dbKg4OTSSqGARvecYd
4oUHIQIBe0LHzYfvXNW4QM,3DZ8dbKg4OTSSqGARvecYd
3XxNRirzbjfLdDli06zMaB,6RiiSy9GzSwiyDEJDiMuKe
34me8hAxavRmcDIwhxa3b7,6RiiSy9GzSwiyDEJDiMuKe
12GqGscKJx3aE4t07u7eVZ,4w5hSBHaXu849xt0g9eeDg
0GM7qgcRCORpGnfcN2tCiB,4gzsuuZypVbxs0Af1LSZyB
4q3ewBCX7sLwd24euuV69X,4gzsuuZypVbxs0Af1LSZyB
2QWIScpFDNxmS6ZEMIUvgm,4gzsuuZypVbxs0Af1LSZyB
1z7b1Pr1rSlvWRzsW3HOrS,0dGqP4VickYjtIaB5VOt4H
45TgXXqMDdF8BkjA83OM7z,5iMRhOHzze2CujxHiJ6cRL
5Pwc4xIPtQLFEnJriah9YJ,5r43qanLhUCdBj8HN3fa6B
06HL4z0CvFAxyc27GXpf02,3yII7UwgLF6K5zW3xad3MP
6jGMq4yGs7aQzuGsMgVgZR,4eNOLmx8r2IJAVKvBBL1jv
6AgTAQt8XS6jRWi4sX7w49,4eNOLmx8r2IJAVKvBBL1jv
14CHVeJGrR5xgUGQFV5BVM,4eNOLmx8r2IJAVKvBBL1jv
5SXuuuRpukkTvsLuUknva1,15hJmqqEtASVXl6sM7i4UF
4sIl4BTo9l9KqEi0Y3RE72,5OLaVCAM2pqg7X9mAM2W8M
4dpARuHxo51G3z768sgnrY,0gplL1WMoJ6iYaPgMCL0gX
1Xyo4u8uXC1ZmMpatF05PJ,37BZB0z9T8Xu7U3e65qxFy
66CXWjxzNUsdJxJ2JdwvnR,37BZB0z9T8Xu7U3e65qxFy
0du5cEVh5yTK9QJze8zA0C,3xVZYkcuWalGudeKl861wb
3jK9MiCrA42lLAdMGUZpwa,3xVZYkcuWalGudeKl861wb
6PvvGcCY2XtUcSRld1Wilr,3xVZYkcuWalGudeKl861wb
06HL4z0CvFAxyc27GXpf02,4OAuvHryIVv4kMDNSLuPt6
4oUHIQIBe0LHzYfvXNW4QM,64SCQtbRtmO28ks1QhS3w5
06HL4z0CvFAxyc27GXpf02,4CkgMiMqZ5JzW9iYXSTMTL
4YLtscXsxbVgi031ovDDdh,4CkgMiMqZ5JzW9iYXSTMTL
6C1ohJrd5VydigQtaGy5Wa,4TIqzdAssasqx3DAe6cG9J
5f7VJjfbwm532GiveGC0ZK,4TIqzdAssasqx3DAe6cG9J
6qqNVTkY8uBg9cP3Jd7DAH,32BeYxKPrig1LefHsC0Xuo
4dpARuHxo51G3z768sgnrY,46IZ0fSY2mpAiktS3KOqds
7wlFDEWiM5OoIAt8RSli8b,2cEnKRR4dYBB2VA1mjlb1z
0XeEobZplHxzM9QzFQWLiR,7bGwqRNetDyNOFDWJN8gvm
4vdAAzZBUKbsrvHi6UR7B7,760jhRscwGbIIe1m1IIQpU
5cj0lLjcoR7YOSnhnX0Po5,748mdHapucXQri7IAO8yFK
7tYKF4w9nC0nq9CsPZTHyP,748mdHapucXQri7IAO8yFK
0XFgyr4jwM0MGeZZW0VzA5,3CLSHJv5aUROAN2vfOyCOh
2VSHKHBTiXWplO8lxcnUC9,4fouWK6XVHhzl78KzQ1UjL
0XeEobZplHxzM9QzFQWLiR,5kItv0UayV5g4Xs9FMshDR
3gGUMEwIX6XodWsYEvKSal,4l8CIibQf8cVk5BcrquSiD
53XhwfbYqKCa1cC15pYq2q,1r9xUipOqoNwggBpENDsvJ
6U3ybJ9UHNKEdsH7ktGBZ7,1r9xUipOqoNwggBpENDsvJ
57nPqD7z62gDdq37US9XJR,1r9xUipOqoNwggBpENDsvJ
47mIJdHORyRerp4os813jD,1r9xUipOqoNwggBpENDsvJ
78rUTD7y6Cy67W1RVzYs7t,2rrq3SGYxk90xLx5fMmPhZ
78rUTD7y6Cy67W1RVzYs7t,78ul3D77noQsYjSwvwiPU1
3bhu7P5PfngueRHiB9hjcx,0QULNNd9z5s35entfiiXoa
66lH4jAE7pqPlOlzUKbwA0,0QULNNd9z5s35entfiiXoa
1mcTU81TzQhprhouKaTkpq,6mmPpaltUZK7xjNlBPQQ0p
37230BxxYs9ksS7OkZw3IU,6mmPpaltUZK7xjNlBPQQ0p
0RESbWvOMyua0yuyVrztJ5,4mIHgQ3ofK2RK34UdbqMbe
06HL4z0CvFAxyc27GXpf02,01K4zKU104LyJ8gMb7227B
1r1uxoy19fzMxunt3ONAkG,01K4zKU104LyJ8gMb7227B
