album_id,album_artists_id
38nZLvJx8A9p4YYpTG5iFP,6EPlBSH2RSiettczlz7ihV
1otOJAtgvO5VCBL4Gykrrd,4fxd5Ee7UefO4CUXgwJ7IP
2Jj4mjzEDaXp9X3AHpo5Gu,1gW6pz5n1aK249L0GvfQCC
4LBe254NURiRmej6BSdQLn,0XeEobZplHxzM9QzFQWLiR
7q5xGp0tEnJ8s1ZumqiRSk,45TgXXqMDdF8BkjA83OM7z
00vb6sViDbJLmLLchfbRh4,7n2Ycct7Beij7Dj7meI4X0
6UsualeqgzPnb8cfaQ5nL7,7FNnA9vBm6EKceENgCGRMb
4TXZgt2GxZONIMcxAhVH9w,6ElqtIfQsAkEYypgfJIjeK
2vb8B3MYGjfYlGch4KlEfe,0jPnVIasXzBYjrlpO5irii
2vb8B3MYGjfYlGch4KlEfe,2kucQ9jQwuD8jWdtR9Ef38
4d0a5uamW9NWRc1KXFeErI,5Pwc4xIPtQLFEnJriah9YJ
2VG4oj0kGjOydr6j8deI7Z,0dUYLC7DLjeS8gIh8cz2Pq
6o86bV7TAt5x4exc2qLDqC,4oLeXFyACqeem2VImYeBFe
6LBPsXUjVuNe9ywLY4xgvX,4oUHIQIBe0LHzYfvXNW4QM
2VUhkRrg5dEJIGewOBOc7J,3KNIG74xSTc3dj0TRy7pGX
4Qku5Zl0Smuzw2ZbupxtaV,7FOQfJbC3e4GNoheojERnF
48ahZJLcagb8VTgRAuv6WQ,6C1ohJrd5VydigQtaGy5Wa
48ahZJLcagb8VTgRAuv6WQ,5f7VJjfbwm532GiveGC0ZK
7EO5zGsZP0HHxEhSLGw2aj,3qiHUAX7zY4Qnjx8TNUzVx
4MCZWUKxkvdMITh4KapBKX,0Q8NcsJwoCbZOHHW63su5S
4MCZWUKxkvdMITh4KapBKX,4q3ewBCX7sLwd24euuV69X
4MCZWUKxkvdMITh4KapBKX,77ziqFxp5gaInVrF2lj4ht
4aGM4L8ks2bc51kAKcVA9V,7GcVOOrldYLwxGrCkELOno
4aGM4L8ks2bc51kAKcVA9V,0LWHFUzXPTl9BDdJHDE001
407qOoTCcCGtc6DP2Wm0zi,7j6DKwmjbxvpQO8h914uEz
5Zdr9vactwnJH4Vpe9Mid9,0ghlgldX5Dd6720Q3qFyQB
3yKGB4IYu6MeLkhFJFn9eI,2VDZoCBGjxbHJbnzSX5nP6
0RCxiP3V5WEl9LY3KS9mxP,5zixe6AbgXPqt4c1uSl94L
7MJhmpSt8rHsk44vyrBQvh,0ErzCpIMyLcjPiwT4elrtZ
2EhxiHgVM7Xp3zw59TuSsT,35WVTyRnKAoaGExqgktVyb
09h4w3F8jXAQnbYmGYktRR,5C2iFRY2UldL2hv9THw4aB
4TATXEH2tnZVTqlyURoWUR,0elWFr7TW8piilVRYJUe4P
1PuZ5juin9Mpt3Tyiygzio,4eYE8Z6cfEHEdG22lTyucP
1OnzqJTL9bwe4kvaLxRYxt,5cj0lLjcoR7YOSnhnX0Po5
1OnzqJTL9bwe4kvaLxRYxt,7tYKF4w9nC0nq9CsPZTHyP
6B26OzQRObxAp1tbf8jeTq,181bsRPaVXVlUKXrxwZfHK
5hxKw2PurC0i1VVJMAntDU,06HL4z0CvFAxyc27GXpf02
7gVVCqQnGgybY3OTdkJuKY,3Rx4PJ7SP6unkOk5elPUK7
6wO4VuzPpcIfh4W8AOjUPI,1gPhS1zisyXr5dHTYZyiMe
2MbdQUj7tAaaBBhUwJE3KG,06HL4z0CvFAxyc27GXpf02
6P5mONYxeYoklwHZa8VLFx,6oqHT4S7trO98T8NkbQJ4h
2JJ2v7A5nR6HaYxyO2T0PX,0fiWOxhsBsQQvFDtxUQWo0
5Zm6BtWH4CgLV83H2nWBsL,0LyfQWJT6nXafLPZqxe9Of
3myUd2MqJKr3rfUrAf41Us,5Vuvs6Py2JRU7WiFDVsI7J
3myUd2MqJKr3rfUrAf41Us,3ycxRkcZ67ALN3GQJ57Vig
3myUd2MqJKr3rfUrAf41Us,7E2ioKxoxI2J94tUkIx6As
5XOo1c28e4YMxp4uLh70qS,1xgl9yxqIVq8PEEMai38uV
5XOo1c28e4YMxp4uLh70qS,63ELR8SMfqu8EH9eXqCt9j
6bpCbQ5GTNZ9IE1nvJ0zQA,718COspgdWOnwOFpJHRZHS
6PwnWA19E1JThqWMdRrj6l,4r63FhuTkUYltbVAg5TQnk
6PwnWA19E1JThqWMdRrj6l,55Aa2cqylxrFIXC767Z865
3SF8e5ewF7PaqWw6rPnfEg,0XeEobZplHxzM9QzFQWLiR
5dGWwsZ9iB2Xc3UKR0gif2,1uNFoZAHBGtllmzznpCI3s
7jNlQ6ps2bh1OzROWHL08Z,5hkcGbdTv8nC62vVT7RJmZ
7jNlQ6ps2bh1OzROWHL08Z,5TcnuUD5MHBfd1cO4kweWD
0LmoB3rBXBGCdEDquHXKmA,2oWN3OXJUk1mh7CAhkJeqX
6fgSKdHloRioPrZ9oJC7FH,246dkjvS1zLTtiykXe5h60
6fgSKdHloRioPrZ9oJC7FH,1Xyo4u8uXC1ZmMpatF05PJ
3v0EO4EsCPW8nZiqwbVVZH,0OpXeanba0vYnyoft00BP6
1arPptaPtDyBisMtMBe2q6,6MPCFvOQv5cIGfw3jODMF0
1arPptaPtDyBisMtMBe2q6,2hlmm7s2ICUX0LVIhVFlZQ
4BUBmfexqfuvnaVT7ZnFiR,4MCBfE4596Uoi2O4DtmEMz
51kijm0sjZz0yOa3kVBPUU,1uNFoZAHBGtllmzznpCI3s
4NTDxbwbo2rMGMm6U9UAEP,22wbnEMDvgVIAGdFeek6ET
4eZKjfeKPSwd6NYsmlKjuR,06HL4z0CvFAxyc27GXpf02
4eZKjfeKPSwd6NYsmlKjuR,4TCXgdDPm10ensLNCVnIYa
4eZKjfeKPSwd6NYsmlKjuR,1yDI9pWnlrJmi9kZn3gkCb
6x9s2ObPdpATZgrwxsk9c0,06HL4z0CvFAxyc27GXpf02
5RongMpRt5jcdZ7gpAKtWn,4G1zP5i0r57g1c1CxrPhfM
1Rty2CL0UZeJWeCcCiXmhg,2XIbOWDT5vZPW7jNyzdfcK
0VotmXUwQt1UHyFH4VVrvt,3gBZUcNeVumkeeJ19CY2sX
5vP0fNictdWyU48o83Q7ob,6TLwD7HPWuiOzvXEa3oCNe
0kxA9Bc8pamypR5GYXmeti,2Pv9ZGQqEflbdavLk6rr0t
0kxA9Bc8pamypR5GYXmeti,0y33MPw94ln3pVCaRYAfE8
0kxA9Bc8pamypR5GYXmeti,4Q6CxLeEfgULmUCUEVxApw
0DiZ7mmFppDNbEtoRPvSGf,6EPlBSH2RSiettczlz7ihV
0ccEYmcKK8UKt5zZ0lGgJ7,2jku7tDXc6XoB6MO2hFuqg
76f2Wq7QxiHImxzsYwiXWW,07YZf4WDAMNwqr4jfgOZ8y
6mNYZNJ4a0tzSS3nPVnkO2,5L15t6I0PQS9SBXbiklPEN
5LjSnB8XhGUTQ47WAzdXJb,4lhUHpVOXmkEBGGHV71QCh
7KSf6p0G0mZd7j60etVTwT,6AgTAQt8XS6jRWi4sX7w49
7jeIigTciBnw9zadRsYqIC,2ElMqlv5py0QFIVXUff627
12zL1YZJeADPb6hPdD9Mqm,0XFgyr4jwM0MGeZZW0VzA5
18CtLoAMTr7F8ngtuM6D8i,5XKFrudbV4IiuE5WuTPRmT
5c5S9cyjHKBQRm1DGU1E8J,3RqBeV12Tt7A8xH3zBDDUF
5c5S9cyjHKBQRm1DGU1E8J,49tQo2QULno7gxHutgccqF
