artist_id,artist_name,artist_popularity,artist_followers
7HaSqpaqnOWSaqvezpdhX4,TileKid,55,16634
0JSCWkJNFGt7o4YbYcplQ7,slater,60,8135
0a0yEq1JhXDqzMlxguFvv0,Lillian Castillo,45,636
22wbnEMDvgVIAGdFeek6ET,Benson Boone,72,577002
59hLmB5DrdihCYtNeFeW1U,Glen Campbell,62,419441
0Y3agQaa6g2r0YmHPOO9rh,Davido,74,2775404
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,72,1216056
3qqkHeEhezlIaNj1vFYH2r,spill tab,52,74477
0lAWpj5szCSwM4rUMHYmrr,Måneskin,81,7315962
5AUTN6tMncnOnYgJK1VM6K,Sam i,43,8030
581C5Qwl87TskfBEzuoisu,Cafuné,67,161242
26XGM4cZDcTgrXo1nis5HT,Enchanting,43,57983
6nVcHLIgY5pE2YCl8ubca1,Jhayco,83,6005245
5vBSrE1xujD2FXYRarbAXc,Years & Years,68,1958208
3L2SIGZah4QZSvN4wC8rHl,City Spud,59,1472
3StB6ddX8vfwCGVD9HlNUw,Take A Daytrip,43,15502
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,80,469169
6gj3sMEZYP6IESIptoXnrP,Ambré,54,79689
60NNvDqsif0u40CXMV6jDQ,Ryan Beatty,54,134776
0GpuSge5ffZ053NhXxgQkV,Cardenales De Nuevo León,70,1884183
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,66,2111509
4LWwYvKY3xAcMVHsLxaaPV,Lil Hank,24,115
0dvFTsuG02c4cRbcSQ8zE6,Yak Gotti,47,36271
4lWFMwElS8KKKjm3c4lybO,Krispy Life Kidd,13,5
3ZMur3elMyOs248ah86NRk,Mach-Hommy,54,88652
5LHRHt1k9lMyONurDHEdrp,Tyga,81,6813329
1FX1BFU0DbHRYgKP83pA0d,JELEEL!,60,134570
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,84,11041954
5D7x9esAF6twPxuOqSMkeO,Justin Morales,58,296356
24zj84GShUIcBQYq6VpOYW,Duke Deuce,53,133642
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,74,5877525
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,84,2408780
1l39BupEDqsioWGVDXluVG,FL Dusa,49,7288
2WInxWtfee6mRhUQUmIRAH,Strick,45,35383
1OmJlIsNDkAVfdkmHbvQFM,Calma Interiore,53,1434
0NyMCdnVJnLRDItfh5cA7c,Jusblow600,40,2870
6veh5zbFpm31XsPdjBgPER,BIA,69,448154
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,73,1016637
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,68,738068
2hwy5DELim1AxB1sHPqn4y,Gotts Street Park,49,20562
3exvMmrLV6o4R42YnG3Id6,Egzod,63,84251
5IbEL2xjRtKsunfmsahLuO,$NOT,71,1341390
1E2AEtxaFaJtH0lO7kgNKw,Russell Dickerson,67,434540
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,74,1035833
2NjfBq1NflQcKSeiDooVjY,Tones And I,71,3011530
6lxA3O2PKkIPpAjPHtQ8Kv,Vex Ruffin,23,5531
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,72,1204398
4MzJMcHQBl9SIYSjwWn8QW,Spiritbox,62,396678
31t9hT68QYCDPWkkUVrQjY,Bravo the Bagchaser,53,81752
04gDigrS5kc9YWfZHwBETP,Maroon 5,85,40472607
53xeKWbSRuGgTxViJTAZKC,Sideshow,47,13557
4fv1OFJywZ7DHCz3mVQQ45,Grabbitz,59,83396
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,80,5886591
45gHcnDnMC15sgx3VL7ROG,42 Dugg,73,812217
58DL2eZUimlqbb6FLJi09d,Lil Skrap 1090,46,583
1GzMtNyLiP1oM7yW0DyRhP,CYPARISS,56,17526
07VmOvmuBp9G0gb8BTrpn0,Mike Jones,59,550423
7rkW85dBwwrJtlHRDkJDAC,NAV,74,3294427
29PgYEggDV3cDP9QYTogwv,Carolina Gaitán - La Gaita,59,48680
1nf0nRF0W4ybnJdda00pKY,The Swon Brothers,32,41842
29gIYsdyccGoUc6qgkZeTK,SwaVay,48,31985
5rOkxO8Va1CnXhF7nrHMrU,YGTUT,47,48418
3tqosLbNFNekyZyO2KJ6qd,Mike Sherm,65,404047
6qm0DFounuQWwu6IF0ZGH2,La Fiera de Ojinaga,64,391069
0SSbTivuMrvdqgCt7ln6jD,ICON,54,6870
3vDpQbGnzRbRVirXlfQagB,Sturgill Simpson,66,733440
1fctva4kpRbg2k3v7kwRuS,Rvssian,69,2363946
6ptC15l7UMxtMiGsDCbiOb,DidIt,5,69
4ETSs924pXMzjIeD6E9b4u,Surfaces,69,893174
0MoaBi6dSquXp6rrlqlF8R,Buscabulla,63,83794
4r6joVLgbTD7M07z1KIooA,Everywhere Brown Noise,55,240
4LLpKhyESsyAXpc4laK94U,Mac Miller,84,8964224
5rjz63sgMaAUAyBMyCUK5D,Avery Anna,53,77764
7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,60,62915
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,67,668461
2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,75,5404235
37hAfseJWi0G3Scife12Il,City Girls,66,2241215
3HShZ9OYr5GdhHI8DU9Yzy,Duvy,49,23058
0p7lJtfYpKXr9KClOkpRaF,Elyssa Smith,55,13519
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,77,383900
7htQnykNfk2Bu39bSw7owz,ame,65,827
1BEUkE2CSUgHTLSBMZdnFB,Mae Muller,67,131913
5QNm7E7RU2m64l6Gliu8Oy,HARDY,75,377029
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,9290954
4Ui2kfOqGujY81UcPrb5KE,HAIM,66,1255940
3xLU748QxpTmIVaiNXXg0P,Encanto - Cast,63,83029
4F61H4lx1js4wtWfb2Rfnt,Party Pupils,48,48638
2o08sCWF5yyo2G4DCiT7T9,HVME,65,61328
0avMDS4HyoCEP6RqZJWpY2,Ethel Cain,63,239180
0HgICyWHmS6rnl8xWEd0x6,Banda Los Sebastianes,27,970984
0sMAHzxguan2KpnKFZPW2d,Sadie Jean,62,144763
6rIaHuCIUu32uj2CjlEBN3,Mike Dimes,62,173264
4Q6CxLeEfgULmUCUEVxApw,SNAPKATT,15,818
7tFehEdzjjoeiwUExR89qs,KANKAN,62,235349
6tmdudtl1wM5WwTIqZX0WD,La Ventaja,58,213199
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,75,787753
6TsHQClbheVZTyc97g5Nc4,No More Heroes,49,2463
3FFQjcpieXBXQwkbUJQpjV,Los Del Fl,49,26
70gP6Ry4Uo0Yx6uzPIdaiJ,Bas,67,501462
1AEcpjnSCmm53IBZQo3g9z,DāM-FunK,46,49852
4j2Nl10LgodE4eE60kwa72,Yo Baby,7,396
0wGzciem2JUvglxX6Hr3E9,Hot Freaks,54,109265
11usEAQkFE6UJwsyAKkchi,Caleb Calloway,57,2953
5SyGEPymt1G2uto47tVWvZ,MadeinTYO,63,1022376
4alndwWPbM9ApMYLjg19oD,Wale the Sage,53,56332
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,72,2024075
6MWr1SmTaCU5BJzOZxwJEw,Larry Fleet,60,79442
3oVcF3VdpMuvMvLLyHPT4t,Sierra Ferrell,59,142719
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,83,2767742
1ZbmerOthZbxz5eR3c9Mn1,Icewear Vezzo,57,155932
360IAlyVv4PCEVjgyMZrxK,Miguel,81,4630899
3S0tlB4fE7ChxI2pWz8Xip,Giggs,61,453416
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,81,4616199
0y33MPw94ln3pVCaRYAfE8,Syko Bob,26,4718
4Hbj47VXZN7Brcs057firv,SeptembersRich,51,545
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,74,1680874
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,83,25210395
053q0ukIDRgzwTr4vNSwab,Grimes,69,2014719
6ZV6lGY0prbqpTD0Md8i29,Scotty McCreery,64,902189
33tFkBLsl6f8TjKkV0uF0C,Lovejoy,70,1299167
0aOIluXr131XqrXFwFCFGT,Sevek,65,11268
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,80,1738731
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,77,2853073
0bBz5bRBkExaej2HxtVfCw,347aidan,68,421360
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,80,23621412
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,72,3520834
550PiaxNneb0AaqPp7sWWS,Three Peels,57,37
7DBeFeXHrHygx9GcJueqzB,Dolly White,29,1000
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,82,11032776
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,77,9699695
3e7awlrlDSwF3iM0WBjGMp,Little Mix,76,11379420
1bqJuNMz1iBqWo9B0BdIiM,FN DaDealer,38,13596
