track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,-4.021,0.0523,0.051,0.0,0.155,0.507,122.062,139672,80
1FlL8ycld6uVDDyhV7P5FA,0.765,0.625,-3.599,0.0548,0.584,0.00111,0.112,0.262,102.101,164706,80
2MnLkFqY9Rpg9s3Zv6ZJdK,0.727,0.546,-4.572,0.0437,0.656,0.0,0.122,0.69,106.891,197333,80
6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604,80
0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,140500,80
4OAuvHryIVv4kMDNSLuPt6,0.516,0.777,-4.908,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,223093,80
7kUljt0NM5sISL3OGNVxYd,0.388,0.855,-4.229,0.0644,0.0181,8.11e-05,0.137,0.32,80.121,223520,80
2BEcap3xJtmiPaHKyfQi4e,0.734,0.846,-3.425,0.0489,0.166,1.74e-06,0.235,0.604,98.026,209884,80
0MEZYGMSPxNwUO4nAdQRBW,0.729,0.596,-7.523,0.24,0.689,0.000181,0.065,0.781,185.984,198740,79
7n2FZQsaLb7ZRfRPfEeIvr,0.828,0.731,-3.033,0.111,0.0617,0.0,0.048,0.587,119.978,178453,79
3rdAz1fbUfZxYgaCviYhRo,0.78,0.719,-3.613,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,79
1wcr8DjnN59Awev8nnKpQ4,0.599,0.869,-5.174,0.0618,0.000707,0.0,0.0911,0.453,132.889,193260,79
0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,79
68HocO7fx9z0MgDU0ZPHro,0.628,0.676,-4.227,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,215687,79
09gysnJpfQ3ublBmJDfcEC,0.87,0.523,-8.052,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764,79
4laAKIq9ZxBCwf99rauPYb,0.612,0.862,-2.903,0.037,0.041,0.0,0.0907,0.354,123.849,160766,79
1KMkcUvF7m3SDChDOa7i5L,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,161385,79
5IdyvWCaUa7AgTxMsFj0wB,0.743,0.89,-5.451,0.0837,0.366,0.0,0.0966,0.809,107.635,196864,79
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,-4.806,0.053,0.0361,0.0,0.0755,0.688,97.014,193507,79
6TBJkXHPhu3EsMk1bshwuI,0.536,0.296,-7.451,0.0346,0.892,0.0,0.0873,0.151,122.907,240907,79
4eDE92gbf1iKImxBIKS64V,0.747,0.801,-5.826,0.334,0.0287,2.97e-05,0.441,0.707,167.077,149461,79
1VauUM5CBX7nkLcgafQL2B,0.783,0.524,-6.455,0.0554,0.241,0.0,0.271,0.839,117.496,164896,79
2m6Ko3CY1qXNNja8AlugNc,0.559,0.559,-6.425,0.0358,0.0145,0.0,0.138,0.338,72.498,220780,79
798ahLNEcoFER7Vywg1FMT,0.651,0.726,-4.144,0.0539,0.382,0.0,0.0535,0.963,179.99,156267,79
1JpzJfxjHGFUyTHXLZidok,0.811,0.5,-6.717,0.0976,0.104,0.0,0.372,0.789,178.017,189333,79
7v8wKvNQQIxkugCFFjrkaO,0.367,0.896,-4.002,0.091,0.000627,0.0,0.207,0.38,170.863,184893,79
2KnuaZYoGzDoHiBTNYOTXG,0.895,0.389,-11.036,0.11,0.222,0.0346,0.105,0.549,110.023,196731,79
1hHnCReCPe1FUkGLTeuCaC,0.715,0.739,-3.779,0.041,0.578,0.0,0.0887,0.963,101.611,140984,79
6RiiSy9GzSwiyDEJDiMuKe,0.648,0.781,-8.736,0.0271,0.0332,0.013,0.305,0.822,133.417,153313,79
0W6I02J9xcqK8MtSeosEXb,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,79
6AtZLIzUINvExIUy4QhdjP,0.584,0.557,-6.371,0.0342,0.0129,0.0,0.0576,0.767,154.008,219760,79
1Is8hGpkGMiePASAxBluxM,0.701,0.782,-4.987,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040,79
