album_track,track_name,album_id,album_name,RPG,공포,로그라이크,배틀로얄,생존,스토리,스포츠,슈팅,시뮬레이션,액션,어드벤쳐,잠입,전략,퍼즐,플랫포머,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
2M213iLJNT3cYDy7Mjcv2Z,Ocarina of Time - Song of Storms (Piano) (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.676,0.446,-10.275,0.0482,0.995,0.912,0.126,0.37,135.021,127987,15
1hXSNIAOCmFShfhukDf2L3,Ocarina of Time - Zelda's Lullaby (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.535,0.36,-8.461,0.0283,0.795,0.912,0.163,0.445,93.037,54347,12
6mlj1nYn5PKv4Pco11Qg7a,Ocarina of Time - Gerudo Valley (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.543,0.629,-7.55,0.0632,0.701,0.839,0.186,0.691,124.981,115200,15
1IRKrPID8QqUbnfGOxFgqK,Ocarina of Time - Bolero of Fire (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.465,0.25,-12.817,0.0408,0.975,0.947,0.142,0.367,125.334,20245,0
4o0c7NSPipwyfuIlD4hyng,Ocarina of Time - Sheik's Theme (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.378,0.322,-16.752,0.0457,0.991,0.97,0.134,0.155,164.032,61593,20
6PqNxmaEvCwwuSVz0rXVfg,Ocarina of Time - Temple of Time (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.298,0.0568,-23.556,0.0412,0.99,0.876,0.256,0.11,88.217,106541,18
0KqXsxJJ6pF0cYiWLkrt0J,Ocarina of Time - Spirit Temple (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.264,0.103,-20.788,0.0367,0.946,0.888,0.133,0.0373,71.042,114938,15
4Qp2leKtPhMIMya8brPkum,Ocarina of Time - Fairy Fountain (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.472,0.687,-4.938,0.0342,0.429,0.105,0.146,0.332,129.937,68307,14
5Y0h4IIn4vCbjGt7S2bnFh,Ocarina of Time - The Lost Woods (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.453,0.459,-7.189,0.0358,0.742,0.000133,0.0503,0.902,117.945,97613,14
2FK9lxOyOtK0mYG8WWcBUO,Majora's Mask - Oath to Order (Instrumental Remix) (The Legend of Zelda),5ZHFLShyZ4XtrQNbPU5F5c,Uncharted 2: Among Thieves (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.436,0.555,-6.596,0.0309,0.887,0.87,0.483,0.223,88.077,40880,10
