album_id,album_name,album_tracks
1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),"['4fLTtg48X0QtKrj0Jv8I3v', '2K87XMYnUMqLcX3zvtAF4G', '3NLnwwAQbbFKcEcV8hDItk', '6N5xh0tYYLTQRiCCaNbAUt', '5AezhHjX3R1bmxcAEgrFpS', '5CRVwXGikmqzoRO6q7FeAg', '2UFOh8iMQ2DON7sl3lqGJH', '7rdP71W8x4UbJ0KAKBACbo', '5dONhl6aXFuN86UBdayF6W', '0iSWAT0EL8TwmzcgBjKMh6', '1ZWLWVqeEMWMKTlteS0yLH', '608R6FvRtAqf2dvgKMzebP', '0HMjXBAZmSYOTTi33WpMso', '2Xcvt8NRLw0xbB3ClfW8MI', '1ZycJRpLOazlLcoFGxGROO', '4hJfmMjy3wFIOknfYwhouY', '5omYVLodGmaxnhua99xIE8']"
6JFD9WU1ZSYZOJlDpRtZ71,sail away,['6G8xvLFNkXy3HM5EbQI6c8']
2nE7I42NgdU4IlyLv6xtVM,BACK IN ACTION 3.0,"['1opOR74uWTWSHQZJb8Rrnp', '2Gn3xsO0hacXJy1Z2EHrgm', '5SDPFTr7SZtmQhVsa5kXhv', '6207GoZSSsfRpumO9on8Vm', '5cvGZOop0c1AtzFOxuRd4n', '4FqKJITPM1GW2N2oq1cnZt', '2n6e1uQMhNquIxZ0Pi4Kx0', '02TUNShxOD4v2gmPut8dR6', '2FJMueINEzrwgifCIMEhYN']"
70f70xLCpH7wHaVvB2oZT9,Believe (Deluxe Edition),"['1Mg8vLBYwizu7AuhYQO64V', '2L7rZWg9RLxIwnysmxm4xk', '0pwYLVXVknPSGUQb39cePC', '5uDuOnjJ0MrfJxvEHPpJap', '41bV7zvmTbAPinmY1pG4xN', '7vjtAU3Ns1AT4dRa0voHBJ', '7zMMgJ8cSCg4iPuoxWtTyL', '23taOWrpWaAtU8rVN7hiNu', '2iyW0eOEQ764Dz2sn8ImN9', '190jyVPHYjAqEaOGmMzdyk', '2neyhqdDpRH7LV08C39TFJ', '0nxvFG50rGXkiGQqOO2MHr', '1AruWZmSy4RerslWBkH8OY', '0b1L4GuHRY7jLzcMdek3fP', '2Z3y6552thvY2jKNHHMtXj', '7E1dQbOk1qcx9gEPUMBKsk', '55DEnUKIReTBcrjAmAa9Tw']"
6HJDrXs0hpebaRFKA1sF90,ROXANNE,['696DnlkuDOXcMAnKlTgXXK']
1GuNa6xVjgJIPS0VNll8TR,Misery Meat,['56sNhxLlrFYCbR0JFaK6w0']
7k3KEedw9YYKrgSrIKknuo,Our Wave Nuestra Ola,"['2fAK7gI35OUsN8DGQkdxTr', '75cvhP81lNCKLFG8Hio422', '34kuOHSIqvyahIjR3ts6yE', '3NheBcGXdkrtihpL1PyUjV', '3V1jBnDI3zCn25ONFiqwN8', '54QMC25lPIwyM8RC7vgocX', '5YgpBbSqDc50OOVDahLoJZ', '0tk67IyFUt7Xy3bZGkTjF4', '1SpUQqL6orOwQZnUcKiuXp', '65jitxSEmqE0roI89vqxfo', '7jqGbXRcMXdKrOkZfkZMje']"
6lL6OzU1EEqrCpxJ1R4zxo,Heaven Sent,['0kuP3lMxCikBd7nPBIdjv8']
1XMw3pBrYeXzNXZXc84DNw,Savage Love (Laxed - Siren Beat),['1xQ6trAsedVPCdbtDAmk0c']
6ymw9w3tGhxVGBskQAhsvm,"Gravity (feat. Tyler, The Creator)",['6u3CPnFMKANYgfdiifFOiJ']
