track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3gMtkr2vo2lkzCnfXI0Ouo,0.545,0.457,-13.092,0.0339,0.783,0.918,0.143,0.38,91.932,67070
3NaAbWeckIC9sOkuxgVVVy,0.149,0.326,-14.329,0.0377,0.835,0.925,0.111,0.119,135.375,51659
6gfsuc9yufqpaWtZJ6nahk,0.208,0.469,-11.419,0.0455,0.681,0.907,0.0602,0.0733,72.543,30846
299v4OcI8CpridfJ51zcOg,0.484,0.66,-11.087,0.0278,0.609,0.937,0.131,0.442,94.096,186954
1QUcdmpNF6W7XdEcAXYYo4,0.167,0.338,-13.99,0.0375,0.804,0.887,0.144,0.0883,88.936,85534
2VtbrNU2ozhHTJ47k0QCg9,0.583,0.427,-13.885,0.0319,0.714,0.918,0.101,0.416,95.911,128213
0QSZB4rDY8wHN7JvGAk8s4,0.231,0.0169,-27.607,0.037,0.896,0.91,0.154,0.165,82.25,44468
35xiWCw8FDUwHkmEgLR9xq,0.464,0.685,-13.122,0.0306,0.0795,0.812,0.355,0.801,75.008,183281
59340REE5ngN7lvAFVzHKf,0.341,0.571,-10.424,0.0317,0.077,0.947,0.123,0.389,75.002,183984
1t8SvuVEoS4FCZytgvLQ7w,0.192,0.323,-14.285,0.0418,0.681,0.857,0.129,0.0394,107.165,57960
1Ec8MBE1NaVLy7myemu0NP,0.43,0.468,-13.766,0.0409,0.684,0.938,0.11,0.215,141.909,98404
6wcSIJjsKtmvQkfn3jYW2e,0.591,0.397,-13.817,0.0332,0.47,0.914,0.0986,0.377,105.282,98403
3Lp90v6D5Kj62MF45P9nHv,0.2,0.0986,-16.734,0.0366,0.924,0.95,0.105,0.0386,68.018,106237
2LVbkywY69V9Co3WDZqmHj,0.52,0.861,-5.49,0.0334,0.239,0.0,0.0617,0.468,99.0,352600
0Ul5f0XVQuqopN8Tr7qdo3,0.173,0.634,-13.247,0.0565,0.811,0.477,0.0752,0.0229,66.659,39240
0gGRq5NxtvIh9qhxoUpMMi,0.388,0.978,-7.242,0.0448,0.0136,0.857,0.0383,0.91,180.034,174253
3AkPMBiQVFrb8lCSwyCfml,0.465,0.763,-7.724,0.0597,0.00834,0.394,0.121,0.672,159.925,120840
62dH2gIh4dJ8edmPJUGXym,0.528,0.946,-8.292,0.0386,0.000753,0.898,0.219,0.828,179.992,130800
2EROCcB0z4EQkLYF9DoWDb,0.559,0.735,-11.599,0.041,0.0205,0.902,0.0642,0.714,179.899,130840
3kEfvrJ0s7KOhK5cNs7UT5,0.394,0.877,-7.88,0.078,0.00083,0.879,0.0981,0.31,167.183,152360
6TgsKTvpYcZrTqiw8wQnm1,0.506,0.654,-9.392,0.0251,0.000668,0.397,0.402,0.533,105.034,188133
7MebVxYUympMX5wAOhorjv,0.411,0.663,-8.903,0.0291,0.23,0.116,0.248,0.547,173.729,131573
2mg4PI9X5KzspMJIMf8PgL,0.439,0.829,-9.914,0.0404,0.021,0.228,0.336,0.873,184.073,172960
7uD8Aizb7wAG0aYkYaY5AR,0.428,0.75,-10.168,0.0321,0.00554,0.901,0.113,0.753,159.96,136467
7mlCPh5U8styv5n5fdiHtH,0.411,0.86,-7.626,0.0914,0.163,0.457,0.286,0.464,173.979,187467
3stnO3zUo28ZtKN2IItiVv,0.529,0.757,-8.973,0.0341,0.0568,0.872,0.155,0.779,110.034,140533
6wFGDkY4jwqfZi3s2mEXoh,0.468,0.915,-5.426,0.0674,0.00897,0.844,0.156,0.386,105.84,137027
0Xt3RL4Xa1hljHSFM3WqDh,0.693,0.443,-9.187,0.0276,0.0935,0.864,0.113,0.202,109.999,147000
3VL3Gu3h1dQ6yt7jpBM2o3,0.549,0.561,-8.484,0.0266,0.00388,0.000488,0.0857,0.373,159.999,267040
4p2lXcKMzCfRrM0vQbkMUV,0.409,0.958,-4.301,0.122,0.00665,0.799,0.32,0.464,200.015,133893
6GEFlzR6nEnv241o7tlt4P,0.576,0.936,-6.557,0.0347,0.0387,0.00132,0.306,0.949,125.017,212240
0gpYXbUcKn6KqY4Fx9I9VR,0.45,0.98,-4.933,0.0702,0.000233,0.509,0.239,0.648,137.704,142267
